date,handoff_type,new_participants,departed_participants,new_count,departed_count,time_gap_days,event_subject,event_type,confidence,description,handoff_id
2022-08-22 20:30:14,gap_resumption,"['bailey.taylor@consultingco.com', 'jamie.adams@startupco.com']",[],2,0,17,Fwd: StartupCo re-Branding Project,email,0.37777777777777777,2 new participant(s) after 17-day gap,0
2022-08-30 15:48:10,team_expansion,"['lennon.quinn@consultingco.com', 'hayden.evans@consultingco.com', 'kelly.underwood@consultingco.com']",[],3,0,3,StartupCo's Introduction to ConsultingCo's Brand Development Team,email,0.6,Team expanded by 3 people,1
2022-09-02 21:14:32,team_expansion,"['oakley.brooks@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com', 'sam.stone@startupco.com', 'indigo.walker@consultingco.com']",['hollis.murray@consultingco.com'],5,1,3,StartupCo Brand Strategy Workshop,email,1.0,Team expanded by 5 people,2
2022-09-05 23:30:00,departure,[],"['hayden.evans@consultingco.com', 'taylor.parker@consultingco.com', 'sam.stone@startupco.com', 'lennon.quinn@consultingco.com', 'terry.garcia@consultingco.com', 'jamie.adams@startupco.com', 'kelly.underwood@consultingco.com']",0,7,3,StartupCo Workshop Discussion,meeting,1.0,7 participant(s) departed,3
2022-09-07 20:30:00,team_expansion,"['katy@startupco.com', 'hayden.evans@consultingco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'jamie.adams@startupco.com', 'kelly.underwood@consultingco.com']",[],6,0,1,ConsultingCo x StartupCo Brand Strategy Workshop ,meeting,1.0,Team expanded by 6 people,4
2022-09-07 22:37:11,departure,[],"['oakley.brooks@consultingco.com', 'katy@startupco.com', 'hayden.evans@consultingco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'indigo.walker@consultingco.com', 'jamie.adams@startupco.com', 'kelly.underwood@consultingco.com']",0,8,0,StartupCo Overall Runsheet,email,1.0,8 participant(s) departed,5
2022-09-14 16:45:00,team_expansion,"['oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'jules.gray@consultingco.com', 'shimy@consultingco.com', 'hesham.a@consultingco.com', 'bailey.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'skylar.stone@consultingco.com', 'gray.clark@consultingco.com', 'lennon.quinn@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com', 'kelly.underwood@consultingco.com']",[],13,0,6,StartupCo Briefing Session,meeting,1.0,Team expanded by 13 people,6
2022-09-20 23:30:00,team_expansion,"['jamie.adams@startupco.com', 'elliott.evans@startupco.com']","['oakley.brooks@consultingco.com', 'jules.gray@consultingco.com', 'shimy@consultingco.com', 'hesham.a@consultingco.com', 'bailey.brooks@consultingco.com', 'skylar.stone@consultingco.com', 'gray.clark@consultingco.com', 'lennon.quinn@consultingco.com', 'indigo.walker@consultingco.com']",2,9,6,ConsultingCo // StartupCo demo,meeting,0.4,Team expanded by 2 people,7
2022-09-21 15:50:05,team_expansion,"['oakley.brooks@consultingco.com', 'arden.scott@consultingco.com', 'bailey.brooks@consultingco.com', 'gray.clark@consultingco.com', 'indigo.walker@consultingco.com']","['hayden.evans@consultingco.com', 'jamie.adams@startupco.com', 'elliott.evans@startupco.com']",5,3,0,StartupCo-Product Demo,email,1.0,Team expanded by 5 people,8
2022-09-29 18:30:00,team_expansion,"['hayden.evans@consultingco.com', 'jules.gray@consultingco.com', 'arden.wilson@consultingco.com', 'hicham@consultingco.com', 'parker.jackson@consultingco.com', 'skylar.stone@consultingco.com', 'lennon.quinn@consultingco.com', 'amina@consultingco.com']","['bailey.brooks@consultingco.com', 'arden.scott@consultingco.com', 'kelly.underwood@consultingco.com']",8,3,8,StartupCo Brand Identity Checkpoint,meeting,1.0,Team expanded by 8 people,9
2022-09-30 18:30:00,departure,[],"['hayden.evans@consultingco.com', 'jules.gray@consultingco.com', 'arden.wilson@consultingco.com', 'taylor.parker@consultingco.com', 'hicham@consultingco.com', 'parker.jackson@consultingco.com', 'skylar.stone@consultingco.com', 'gray.clark@consultingco.com', 'lennon.quinn@consultingco.com', 'terry.garcia@consultingco.com', 'amina@consultingco.com']",0,11,1,StartupCo Checkpoint,meeting,1.0,11 participant(s) departed,10
2022-10-04 19:49:02,team_expansion,"['indigo.webb@consultingco.com', 'hayden.evans@consultingco.com']","['oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com']",2,2,0,StartupCo Manifesto for Brand Identity Presentation,email,0.4,Team expanded by 2 people,11
2022-10-06 21:48:28,team_expansion,"['jules.gray@consultingco.com', 'arden.scott@consultingco.com', 'perry.scott@consultingco.com', 'parker.jackson@consultingco.com', 'skylar.stone@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com', 'kelly.underwood@consultingco.com']",['hayden.moore@consultingco.com'],8,1,2,StartupCo | Rebranding | Final,email,1.0,Team expanded by 8 people,12
2022-10-07 19:30:01,team_turnover,['oakley.brooks@consultingco.com'],"['indigo.webb@consultingco.com', 'hayden.evans@consultingco.com', 'jules.gray@consultingco.com', 'arden.scott@consultingco.com', 'perry.scott@consultingco.com', 'parker.jackson@consultingco.com', 'skylar.stone@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com', 'kelly.underwood@consultingco.com']",1,10,0,StartupCo Brand Strategy Final (Keynote),email,0.9090909090909091,"Team turnover: 10 left, 1 joined",13
2022-10-07 20:30:00,team_expansion,"['hayden.evans@consultingco.com', 'katy@startupco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'parker.jackson@consultingco.com', 'hayden.moore@consultingco.com', 'terry.garcia@consultingco.com', 'jamie.adams@startupco.com', 'kelly.underwood@consultingco.com']",[],11,0,0,ConsultingCo | StartupCo- Brand Identity and Strategy Presentation,meeting,1.0,Team expanded by 11 people,14
2022-10-19 20:30:00,team_expansion,"['katy@startupco.com', 'hayden.evans@consultingco.com', 'arden.wilson@consultingco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'morgan.allen@startupco.com', 'lennon.quinn@consultingco.com', 'kelly.underwood@consultingco.com']","['jordan.lopez@consultingco.com', 'parker.jackson@consultingco.com']",8,2,11,ConsultingCo | StartupCo- Brand Identity Presentation,meeting,1.0,Team expanded by 8 people,15
2022-11-04 23:02:00,team_expansion,"['hollis.murray@consultingco.com', 'drew.young@client14.com', 'rowan.garcia@client1.com']","['oakley.brooks@consultingco.com', 'katy@startupco.com', 'hayden.evans@consultingco.com', 'terry.garcia@consultingco.com', 'arden.wilson@consultingco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'morgan.allen@startupco.com', 'lennon.quinn@consultingco.com', 'sam.stone@startupco.com', 'indigo.walker@consultingco.com', 'kelly.underwood@consultingco.com']",3,12,2,MediaPlatform <> ConsultingCo,email,0.6,Team expanded by 3 people,16
2022-11-05 05:12:54,departure,[],"['hollis.murray@consultingco.com', 'drew.young@client14.com', 'rowan.garcia@client1.com']",0,3,0,Re: Branding/Naming & Logo Design Firm Recs?,email,1.0,3 participant(s) departed,17
2022-11-10 22:30:00,team_expansion,"['oakley.brooks@consultingco.com', 'katy@startupco.com', 'hayden.evans@consultingco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'sam.stone@startupco.com', 'indigo.walker@consultingco.com', 'kelly.underwood@consultingco.com']",['taylor.parker@consultingco.com'],8,1,5,StartupCo Brand Strategy,meeting,1.0,Team expanded by 8 people,18
2022-11-11 21:55:13,departure,[],"['oakley.brooks@consultingco.com', 'hayden.evans@consultingco.com', 'terry.palmer@consultingco.com', 'hayden.moore@consultingco.com', 'kelly.underwood@consultingco.com']",0,5,0,StartupCo Messaging Architecture,email,1.0,5 participant(s) departed,19
2022-12-08 05:21:09,gap_resumption,"['terry.garcia@consultingco.com', 'hayden.evans@consultingco.com', 'kelly.underwood@consultingco.com']","['katy@startupco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'sam.stone@startupco.com', 'indigo.walker@consultingco.com']",3,5,26,Swag,email,0.8666666666666667,3 new participant(s) after 26-day gap,20
2023-01-04 19:02:43,gap_resumption,['terry.palmer@consultingco.com'],"['terry.garcia@consultingco.com', 'hayden.evans@consultingco.com', 'jamie.adams@startupco.com']",1,3,27,StartupCo-Scope,email,0.3,1 new participant(s) after 27-day gap,21
2023-01-19 23:30:00,gap_resumption,['jamie.adams@startupco.com'],['kelly.underwood@consultingco.com'],1,1,15,Terry Palmer // Jamie Adams,meeting,0.16666666666666666,1 new participant(s) after 15-day gap,22
2023-01-20 01:19:32,team_expansion,"['terry.garcia@consultingco.com', 'taylor.parker@consultingco.com']",[],2,0,0,Small favor,email,0.4,Team expanded by 2 people,23
2023-01-21 00:10:34,team_turnover,['hayden.evans@consultingco.com'],"['terry.palmer@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com']",1,3,0,Small Favor,email,0.75,"Team turnover: 3 left, 1 joined",24
