participant,influence_score,pagerank,degree_centrality,betweenness_centrality,event_count,email_count,meeting_count,role,organization,rank
rowan.garcia@client1.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Client1,1
skylar.stone@consultingco.com,0.0238,0.0238,0.0,0.0,3,1,2,Contributor,Consultingco,2
quinn.baker@startupco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Startupco,3
sam.stone@startupco.com,0.0238,0.0238,0.0,0.0,5,3,2,Contributor,Startupco,4
hayden.moore@consultingco.com,0.0238,0.0238,0.0,0.0,21,10,11,Executor,Consultingco,5
jamie.walker@consultingco.com,0.0238,0.0238,0.0,0.0,3,1,2,Contributor,Consultingco,6
kelly.underwood@consultingco.com,0.0238,0.0238,0.0,0.0,14,7,7,Executor,Consultingco,7
hesham.a@consultingco.com,0.0238,0.0238,0.0,0.0,1,0,1,Contributor,Consultingco,8
hicham@consultingco.com,0.0238,0.0238,0.0,0.0,1,0,1,Contributor,Consultingco,9
morgan.allen@startupco.com,0.0238,0.0238,0.0,0.0,2,0,2,Contributor,Startupco,10
arden.wilson@consultingco.com,0.0238,0.0238,0.0,0.0,4,0,4,Contributor,Consultingco,11
jamie.adams@startupco.com,0.0238,0.0238,0.0,0.0,29,15,14,Executor,Startupco,12
charlie.brooks@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,13
sage.harris@consultingco.com,0.0238,0.0238,0.0,0.0,5,5,0,Contributor,Consultingco,14
elarabyferris@client7.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Client7,15
jules.gray@consultingco.com,0.0238,0.0238,0.0,0.0,3,1,2,Contributor,Consultingco,16
bailey.brooks@consultingco.com,0.0238,0.0238,0.0,0.0,2,1,1,Contributor,Consultingco,17
amina@consultingco.com,0.0238,0.0238,0.0,0.0,1,0,1,Contributor,Consultingco,18
lennon.quinn@consultingco.com,0.0238,0.0238,0.0,0.0,6,2,4,Contributor,Consultingco,19
hayden.evans@consultingco.com,0.0238,0.0238,0.0,0.0,15,7,8,Executor,Consultingco,20
faroukyn@partnerorg.org,0.0238,0.0238,0.0,0.0,1,0,1,Contributor,Partnerorg,21
terry.palmer@consultingco.com,0.0238,0.0238,0.0,0.0,43,23,20,Executor,Consultingco,22
drew.young@client14.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Client14,23
indigo.davis@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,24
parker.jackson@consultingco.com,0.0238,0.0238,0.0,0.0,4,2,2,Contributor,Consultingco,25
reese.anderson@consultingco.com,0.0238,0.0238,0.0,0.0,3,3,0,Contributor,Consultingco,26
shimy@consultingco.com,0.0238,0.0238,0.0,0.0,1,0,1,Contributor,Consultingco,27
indigo.webb@consultingco.com,0.0238,0.0238,0.0,0.0,2,2,0,Contributor,Consultingco,28
indigo.walker@consultingco.com,0.0238,0.0238,0.0,0.0,15,6,9,Executor,Consultingco,29
jordan.lopez@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,30
perry.scott@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,31
katy@startupco.com,0.0238,0.0238,0.0,0.0,7,2,5,Contributor,Startupco,32
hollis.murray@consultingco.com,0.0238,0.0238,0.0,0.0,5,4,1,Contributor,Consultingco,33
gray.clark@consultingco.com,0.0238,0.0238,0.0,0.0,3,1,2,Contributor,Consultingco,34
avery.young@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,35
elliott.evans@startupco.com,0.0238,0.0238,0.0,0.0,8,2,6,Contributor,Startupco,36
oakley.brooks@consultingco.com,0.0238,0.0238,0.0,0.0,15,6,9,Executor,Consultingco,37
bailey.taylor@consultingco.com,0.0238,0.0238,0.0,0.0,1,1,0,Contributor,Consultingco,38
arden.scott@consultingco.com,0.0238,0.0238,0.0,0.0,2,2,0,Contributor,Consultingco,39
mariel@startupco.com,0.0238,0.0238,0.0,0.0,7,2,5,Contributor,Startupco,40
taylor.parker@consultingco.com,0.0238,0.0238,0.0,0.0,17,9,8,Executor,Consultingco,41
terry.garcia@consultingco.com,0.0238,0.0238,0.0,0.0,12,6,6,Executor,Consultingco,42
