email,organization,email_threads,meetings,total_events
terry.palmer@consultingco.com,Consultingco,23,20,43
jamie.adams@startupco.com,Startupco,15,14,29
hayden.moore@consultingco.com,Consultingco,10,11,21
taylor.parker@consultingco.com,Consultingco,9,8,17
kelly.underwood@consultingco.com,Consultingco,7,8,15
hayden.evans@consultingco.com,Consultingco,7,8,15
oakley.brooks@consultingco.com,Consultingco,6,9,15
indigo.walker@consultingco.com,Consultingco,6,9,15
terry.garcia@consultingco.com,Consultingco,6,6,12
elliott.evans@startupco.com,Startupco,2,6,8
mariel@startupco.com,Startupco,2,5,7
katy@startupco.com,Startupco,2,5,7
lennon.quinn@consultingco.com,Consultingco,2,4,6
sam.stone@startupco.com,Startupco,3,2,5
hollis.murray@consultingco.com,Consultingco,4,1,5
sage.harris@consultingco.com,Consultingco,5,0,5
parker.jackson@consultingco.com,Consultingco,2,2,4
arden.wilson@consultingco.com,Consultingco,0,4,4
jules.gray@consultingco.com,Consultingco,1,2,3
gray.clark@consultingco.com,Consultingco,1,2,3
jamie.walker@consultingco.com,Consultingco,1,2,3
skylar.stone@consultingco.com,Consultingco,1,2,3
reese.anderson@consultingco.com,Consultingco,3,0,3
indigo.webb@consultingco.com,Consultingco,2,0,2
arden.scott@consultingco.com,Consultingco,2,0,2
morgan.allen@startupco.com,Startupco,0,2,2
bailey.brooks@consultingco.com,Consultingco,1,1,2
rowan.garcia@client1.com,Client1,1,0,1
indigo.davis@consultingco.com,Consultingco,1,0,1
amina@consultingco.com,Consultingco,0,1,1
jordan.lopez@consultingco.com,Consultingco,1,0,1
faroukyn@partnerorg.org,Partnerorg,0,1,1
quinn.baker@startupco.com,Startupco,1,0,1
shimy@consultingco.com,Consultingco,0,1,1
elarabyferris@client7.com,Client7,1,0,1
drew.young@client14.com,Client14,1,0,1
bailey.taylor@consultingco.com,Consultingco,1,0,1
perry.scott@consultingco.com,Consultingco,1,0,1
hicham@consultingco.com,Consultingco,0,1,1
charlie.brooks@consultingco.com,Consultingco,1,0,1
avery.young@consultingco.com,Consultingco,1,0,1
hesham.a@consultingco.com,Consultingco,0,1,1
