date,type,event_id,subject,participants,participant_count,email_count,duration_days,duration_hours,has_startupco
2022-08-05 13:15:24,email,email_thread_27,Weekly BD Highlights,"['terry.palmer@consultingco.com', 'hollis.murray@consultingco.com']",2,4.0,10.0,,
2022-08-22 20:30:14,email,email_thread_26,Fwd: StartupCo re-Branding Project,"['bailey.taylor@consultingco.com', 'terry.palmer@consultingco.com', 'hollis.murray@consultingco.com', 'jamie.adams@startupco.com']",4,9.0,10.0,,
2022-08-26 18:30:00,meeting,5mvhgrng9q1p0kmvidsipnuid1@calendar.example,ConsultingCo and StartupCo's Call,"['terry.palmer@consultingco.com', 'hayden.moore@consultingco.com', 'hollis.murray@consultingco.com', 'jamie.adams@startupco.com']",4,,,1.0,True
2022-08-30 15:48:10,email,email_thread_25,StartupCo's Introduction to ConsultingCo's Brand Development Team,"['hayden.moore@consultingco.com', 'jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'lennon.quinn@consultingco.com', 'hayden.evans@consultingco.com', 'hollis.murray@consultingco.com', 'kelly.underwood@consultingco.com']",7,13.0,2.0,,
2022-09-02 21:14:32,email,email_thread_24,StartupCo Brand Strategy Workshop,"['sam.stone@startupco.com', 'hayden.moore@consultingco.com', 'terry.garcia@consultingco.com', 'jamie.adams@startupco.com', 'terry.palmer@consultingco.com', 'lennon.quinn@consultingco.com', 'hayden.evans@consultingco.com', 'kelly.underwood@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'taylor.parker@consultingco.com']",11,153.0,173.0,,
2022-09-05 23:30:00,meeting,49vafagu3t1em12h2ajtdg3b3p@calendar.example,StartupCo Workshop Discussion,"['terry.palmer@consultingco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com']",4,,,1.0,True
2022-09-07 20:30:00,meeting,1ifbrjr4tc4fd7voq2uh7v4i32@calendar.example,ConsultingCo x StartupCo Brand Strategy Workshop ,"['terry.palmer@consultingco.com', 'kelly.underwood@consultingco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'indigo.walker@consultingco.com', 'hayden.evans@consultingco.com', 'jamie.adams@startupco.com', 'mariel@startupco.com', 'elliott.evans@startupco.com', 'katy@startupco.com']",10,,,4.0,True
2022-09-07 22:37:11,email,email_thread_23,StartupCo Overall Runsheet,"['hayden.moore@consultingco.com', 'terry.palmer@consultingco.com']",2,7.0,0.0,,
2022-09-14 16:45:00,meeting,59gqfolof8r08efrmig7ok26nv@calendar.example,StartupCo Briefing Session,"['terry.palmer@consultingco.com', 'gray.clark@consultingco.com', 'skylar.stone@consultingco.com', 'kelly.underwood@consultingco.com', 'shimy@consultingco.com', 'taylor.parker@consultingco.com', 'indigo.walker@consultingco.com', 'bailey.brooks@consultingco.com', 'terry.garcia@consultingco.com', 'hesham.a@consultingco.com', 'lennon.quinn@consultingco.com', 'hayden.moore@consultingco.com', 'oakley.brooks@consultingco.com', 'jules.gray@consultingco.com', 'hayden.evans@consultingco.com']",15,,,1.0,True
2022-09-20 23:30:00,meeting,38rl28ajcqe2uh3oh7ln6tp6gb@calendar.example,ConsultingCo // StartupCo demo,"['elliott.evans@startupco.com', 'terry.palmer@consultingco.com', 'jamie.adams@startupco.com', 'hayden.moore@consultingco.com', 'kelly.underwood@consultingco.com', 'terry.garcia@consultingco.com', 'taylor.parker@consultingco.com', 'hayden.evans@consultingco.com']",8,,,0.75,True
